1096
1097
[264, 5133, 7415, 265, 5134, 7416, 266, 5135, 7417, 267, 5136, 7418, 268, 5137, 7419, 269, 270, 5138, 7420, 271, 5139, 7421, 272, 5140, 7422, 273, 5141, 274, 275, 276, 277, 5142, 5143, 278, 5144, 279, 5145, 280, 5146, 281, 5147, 282, 5148, 283, 5149, 284, 5150, 285, 5151, 286]
[264, 5133, 7415, 265, 5134, 7416, 266, 5135, 7417, 267, 5136, 7418, 268, 5137, 7419, 269, 270, 5138, 7420, 271, 5139, 7421, 272, 5140, 7422, 273, 5141, 274, 275, 276, 277, 5142, 5143, 278, 5144, 279, 5145, 280, 5146, 281, 5147, 282, 5148, 283, 5149, 284, 5150, 285, 5151, 286]
Both: 1096, Only gold: 0, Only lab: 0
P = 0.859, R = 0.968, F1 = 0.910 <-- Question
P = 0.978, R = 0.956, F1 = 0.967 <-- InformationProviding
P = 0.408, R = 0.467, F1 = 0.435 <-- Answer
P = 0.700, R = 0.713, F1 = 0.706 <-- Social
P = 0.677, R = 0.656, F1 = 0.667 <-- ExtensionOfPrevious
P = 0.452, R = 0.475, F1 = 0.463 <-- StateDecision
P = 0.923, R = 1.000, F1 = 0.960 <-- Thanking
P = 0.447, R = 0.718, F1 = 0.551 <-- ProposeAction
P = 0.837, R = 0.903, F1 = 0.869 <-- InformationSeeking
P = 0.611, R = 0.784, F1 = 0.687 <-- Agreement
P = 0.900, R = 1.000, F1 = 0.947 <-- Apologising
P = 0.333, R = 0.786, F1 = 0.468 <-- UnderstandingNegative
P = 0.479, R = 0.588, F1 = 0.528 <-- NeutralResponse
P = 0.389, R = 0.716, F1 = 0.504 <-- ContextSetting
P = 0.250, R = 0.333, F1 = 0.286 <-- Disagreement
P = 0.344, R = 0.568, F1 = 0.429 <-- ClarificationElicitation
